Date,AYRO,CENN,EVTV,FUV,GOEV,GP,KNDI,LCID,LI,NIO,PEV,PSNY,REE,RIVN,TSLA,VFS,VLCN,WKHS,XOS,XPEV,ZAPP
2005-04-22,813120.0,,,,,,,,,,,,,,,,,,,,
2005-04-25,792422.375,,,,,,,,,,,,,,,,,,,,
2005-04-26,724416.0,,,,,,,,,,,,,,,,,,,,
2005-04-27,739200.0,,,,,,,,,,,,,,,,,,,,
2005-04-28,687456.0,,,,,,,,,,,,,,,,,,,,
2005-04-29,731808.0,,,,,,,,,,,,,,,,,,,,
2005-05-02,731808.0,,,,,,,,,,,,,,,,,,,,
2005-05-03,718502.375,,,,,,,,,,,,,,,,,,,,
2005-05-04,739200.0,,,,,,,,,,,,,,,,,,,,
2005-05-05,702240.0,,,,,,,,,,,,,,,,,,,,
2005-05-06,717024.0,,,,,,,,,,,,,,,,,,,,
2005-05-09,683020.8125,,,,,,,,,,,,,,,,,,,,
2005-05-10,770246.375,,,,,,,,,,,,,,,,,,,,
2005-05-11,779116.8125,,,,,,,,,,,,,,,,,,,,
2005-05-12,780595.1875,,,,,,,,,,,,,,,,,,,,
2005-05-13,782073.625,,,,,,,,,,,,,,,,,,,,
2005-05-16,798336.0,,,,,,,,,,,,,,,,,,,,
2005-05-17,814598.375,,,,,,,,,,,,,,,,,,,,
2005-05-18,842688.0,,,,,,,,,,,,,,,,,,,,
2005-05-19,796857.625,,,,,,,,,,,,,,,,,,,,
2005-05-20,813120.0,,,,,,,,,,,,,,,,,,,,
2005-05-23,816076.8125,,,,,,,,,,,,,,,,,,,,
